h,m,s,small_inst,small_sla,small_total,big_inst,big_sla,big_total,aiml_inst,aiml_sla,aiml_total,
4,0,0,0,0,0,0,0,0,0,0,0,
4,14,24,4200,0,4200,10500,0,10500,2200,0,2200,
4,28,48,4400,0,4400,11000,0,11000,2400,0,2400,
4,43,12,4600,0,4600,11500,0,11500,2600,0,2600,
4,57,36,4800,0,4800,12000,0,12000,2800,0,2800,
5,12,0,5000,0,5000,12500,0,12500,3000,0,3000,
5,26,24,5200,0,5200,13000,0,13000,3200,0,3200,
5,40,48,5400,0,5400,13500,0,13500,3400,0,3400,
5,55,12,5600,0,5600,14000,0,14000,3600,0,3600,
6,9,36,5800,0,5800,14500,0,14500,3800,0,3800,
6,24,0,6000,0,6000,15000,0,15000,4000,0,4000,
6,38,24,6200,0,6200,15500,0,15500,4200,0,4200,
6,52,48,6400,0,6400,16000,0,16000,4400,0,4400,
7,7,12,6600,0,6600,16500,0,16500,4600,0,4600,
7,21,36,6800,0,6800,17000,0,17000,4800,0,4800,
7,36,0,7000,0,7000,17500,0,17500,5000,0,5000,
7,50,24,7200,0,7200,18000,0,18000,5200,0,5200,
8,4,48,7400,5.560762,7405.560762,18500,0,18500,5400,5.560762,5405.560762,
8,19,12,7600,24.484366,7624.484366,19000,0,19000,5600,24.484366,5624.484366,
8,33,36,7800,47.904927,7847.904927,19500,0,19500,5800,47.904927,5847.904927,
8,48,0,8000,118.915755,8118.915755,20000,0,20000,6000,118.915755,6118.915755,
9,2,24,8200,217.30983,8417.30983,20500,0,20500,6200,217.30983,6417.30983,
9,16,48,8400,389.22959,8789.22959,21000,0,21000,6400,389.22959,6789.22959,
9,31,12,8600,605.6194,9205.6194,21500,0,21500,9900,907.475419,10807.47542,
9,45,36,8800,1099.02904,9899.02904,22000,0,22000,10400,1126.415252,11526.41525,
10,0,0,9000,1694.520303,10694.5203,22500,0,22500,10900,1358.124534,12258.12453,
10,14,24,9200,2193.878156,11393.87816,23000,0,23000,11400,1484.354287,12884.35429,
10,28,48,9400,2862.348785,12262.34879,23500,0,23500,11900,1517.697895,13417.6979,
10,43,12,9600,3357.567197,12957.5672,24000,0,24000,12400,1517.697895,13917.6979,
10,57,36,9800,4039.971241,13839.97124,24500,0,24500,12600,1517.697895,14117.6979,
11,12,0,10000,5081.992326,15081.99233,25000,0,25000,12800,1517.697895,14317.6979,
11,26,24,10200,5949.32305,16149.32305,25500,0,25500,13000,1517.697895,14517.6979,
11,40,48,10400,7365.425446,17765.42545,26000,0,26000,13200,1517.697895,14717.6979,
11,55,12,10600,8283.616557,18883.61656,26500,0,26500,13400,1517.697895,14917.6979,
12,9,36,10800,9691.293757,20491.29376,27000,0,27000,13600,1517.697895,15117.6979,
12,24,0,11000,10643.61584,21643.61584,27500,0,27500,13800,1526.573339,15326.57334,
12,38,24,11200,11632.54497,22832.54497,28000,0,28000,14000,1529.951985,15529.95199,
12,52,48,11400,12673.77794,24073.77794,28500,0,28500,14200,1530.877641,15730.87764,
13,7,12,11600,13794.81781,25394.81781,29000,0,29000,14400,1531.201621,15931.20162,
13,21,36,11800,15492.32043,27292.32043,29500,0,29500,14600,1531.201621,16131.20162,
13,36,0,12000,16798.40098,28798.40098,30000,0,30000,14800,1531.201621,16331.20162,
13,50,24,12200,19158.29543,31358.29543,30500,0,30500,15000,1531.201621,16531.20162,
14,4,48,12400,20279.0536,32679.0536,31000,0,31000,15200,1539.805743,16739.80574,
14,19,12,12600,21183.46557,33783.46557,31500,0,31500,15400,1574.594061,16974.59406,
14,33,36,12800,23046.67097,35846.67097,32000,0,32000,15600,1644.728926,17244.72893,
14,48,0,13000,25612.9371,38612.9371,32500,0,32500,15800,1714.342321,17514.34232,
15,2,24,13200,26658.34008,39858.34008,33000,0,33000,16000,1809.109182,17809.10918,
15,16,48,13400,28400.94067,41800.94067,33500,0,33500,16200,1898.765628,18098.76563,
15,31,12,13600,30470.42778,44070.42778,34000,0,34000,16400,2002.423673,18402.42367,
15,45,36,13800,31702.05683,45502.05683,34500,0,34500,16600,2044.649102,18644.6491,
16,0,0,14000,33016.13881,47016.13881,35000,0,35000,16800,2151.793396,18951.7934,
16,14,24,14200,34210.06298,48410.06298,35500,0,35500,17000,2228.233872,19228.23387,
16,28,48,14400,35246.4536,49646.4536,36000,0,36000,17200,2259.441958,19459.44196,
16,43,12,14600,36834.08039,51434.08039,36500,0,36500,20700,2441.625048,23141.62505,
16,57,36,14800,38488.18469,53288.18469,37000,0,37000,21200,2640.563336,23840.56334,
17,12,0,15000,41189.58349,56189.58349,37500,0,37500,21700,2812.783586,24512.78359,
17,26,24,15200,43176.48271,58376.48271,38000,0,38000,22200,2936.414468,25136.41447,
17,40,48,15400,44707.50501,60107.50501,38500,0,38500,22700,2978.367295,25678.3673,
17,55,12,15600,46404.44373,62004.44373,39000,0,39000,23200,2983.263201,26183.2632,
18,9,36,15800,48974.6131,64774.6131,39500,0,39500,23400,2983.263201,26383.2632,
18,23,60,16000,50889.45854,66889.45854,40000,0,40000,23600,2983.263201,26583.2632,
18,38,24,16200,51927.55689,68127.55689,40500,0,40500,23800,2983.263201,26783.2632,
18,52,48,16400,53528.37981,69928.37981,41000,0,41000,24000,2983.263201,26983.2632,
19,7,12,16600,54578.14848,71178.14848,41500,0,41500,24200,2983.263201,27183.2632,
19,21,36,16800,55825.66325,72625.66325,42000,0,42000,24400,2983.263201,27383.2632,
19,36,0,17000,57568.46398,74568.46398,42500,0,42500,24600,2992.921836,27592.92184,
19,50,24,17200,59770.88666,76970.88666,43000,0,43000,24800,3044.310368,27844.31037,
20,4,48,17400,61162.94696,78562.94696,43500,0,43500,25000,3125.222159,28125.22216,
20,19,12,17600,63261.30705,80861.30705,44000,0,44000,25200,3220.369259,28420.36926,
20,33,36,17800,65902.76835,83702.76835,44500,0,44500,25400,3364.049524,28764.04952,
20,48,0,18000,68905.72173,86905.72173,45000,0,45000,25600,3474.046059,29074.04606,
21,2,24,18200,71314.17883,89514.17883,45500,0,45500,29100,3644.039326,32744.03933,
21,16,48,18400,74379.27231,92779.27231,46000,0,46000,29600,3644.039326,33244.03933,
21,31,12,18600,77522.12821,96122.12821,46500,0,46500,29800,3646.128549,33446.12855,
21,45,36,18800,80711.00228,99511.00228,47000,0,47000,30000,3646.128549,33646.12855,
22,0,0,19000,83401.3703,102401.3703,47500,0,47500,30200,3646.128549,33846.12855,
